Company_name,City,Country,Business,Products,Tags,Fax,Telephone,Email,Web_Site,WhatsApp,Mobile,Linkedin
FELLINI PATRIZIO & C. S.n.c.,Gambettola, Italy,['Exporter - Exporter'],"[{'Fennels': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Potatoes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Red Chicory': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Rocket': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Lettuce': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['French endive', 'Conventional farming', 'Fennels', 'Lettuce', 'Potatoes', 'Red Chicory', 'Rocket']",-,+390547659777,viller@fellinipatrizio.it,www.fellinipatrizio.it,-,+39337609090,-
FERFRUT S.r.l.,Palma Campania, Italy,['Exporter - Exporter'],"[{'Persimmons': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Oranges': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Watermelons': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Watermelons', 'Oranges', 'Persimmons', 'Conventional farming']",-,-,ferfrut@libero.it,-,-,+393382334344,-
FERRARI & ALDRIGHETTI S.n.c.,Valgatara, Italy,"['Exporter - Exporter', 'Fruit and Vegetable Processing - Fruit processing industry', 'Importer - Importer', 'Wholesaler - Wholesale']","[{'Apples': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Pears': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Conventional farming', 'Apples', 'Pears']",+390456801247,+390457701239,ivo@ferrarialdrighetti.com,www.ferrarialdrighetti.com,-,+393299440712,-
FERRO FRUTTA S.r.l.,Canicattì, Italy,['Exporter - Exporter'],"[{'Peaches': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Grapes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Vegetables': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Peaches', 'Conventional farming', 'Pulses', 'Vegetables', 'Grapes']",+390922857459,+390922857855,ferrofruttasrl@virgilio.it,-,-,-,-
FESSIA FRANCA Az. Agr.,Manta, Italy,"['Exporter - Exporter', 'Producer - Producer and trader', 'Wholesaler - Producer and trader']","[{'Apricots': {'Convention.': True, 'Integrated': False, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Apples': {'Convention.': True, 'Integrated': False, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Pears': {'Convention.': True, 'Integrated': False, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Kiwi': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Peaches': {'Convention.': True, 'Integrated': False, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}]","['Peaches', 'Apricots', 'Organic farming', 'Conventional farming', 'Kiwi', 'Apples', 'Pears']",-,-,antoniogullino@alice.it,-,-,+393383833162,-
FI.DI. S.r.l.,Santa Croce Camerina, Italy,"['Exporter - Exporter', 'Wholesaler - Wholesale']",[],[],+390932825077,+390932911014,fi.di.srl@virgilio.it,-,-,+393392892092,-
FIAMENE Az. Agr.,Prun, Italy,['Exporter - Exporter'],[],[],+390457525573,+390457525572,-,-,-,-,-
FINAGRICOLA Soc. Coop. a r.l.,Battipaglia, Italy,"['Exporter - Exporter', 'Producer - Producer and trader', 'Wholesaler - Producer and trader']","[{'Melons': {'Convention.': False, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Aubergines': {'Convention.': False, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Peppers': {'Convention.': False, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Rocket': {'Convention.': False, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Lettuce': {'Convention.': False, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Tomatoes': {'Convention.': False, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Integrated farming', 'Lettuce', 'Aubergines', 'Melons', 'Peppers', 'Tomatoes', 'Rocket']",+390828303110,+390828614511,acalabrese@finagricola.it,www.finagricola.it,-,+393483735525,-
FINIS TERRAE S.r.l.,Racale, Italy,['Exporter - Exporter'],"[{'Watermelons': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Potatoes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Watermelons', 'Conventional farming', 'Potatoes']",+390833901612,+390833585673,antoniomele@finisterraesrl.com,www.finisterraesrl.com,-,+39336868164,-
FIORDELISI S.r.l.,Stornarella, Italy,['Exporter - Exporter'],"[{'Chestnuts': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Marrons': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Artichokes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Peppers': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Rosemary': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Capers': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Dried tomatoes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Capsicum': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Capers', 'Artichokes', 'Chestnuts', 'Conventional farming', 'Marrons', 'Capsicum', 'Peppers', 'Dried tomatoes', 'Rosemary']",+390885437003,+390885437024,info@fiordelisisrl.com,www.fiordelisisrl.com,-,-,-
FIORIO NATALINO,Buttapietra, Italy,['Exporter - Exporter'],"[{'Strawberries': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Peaches': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Green beans': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Tomatoes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Courgettes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Peaches', 'Conventional farming', 'Green beans', 'Strawberries', 'Tomatoes', 'Courgettes']",-,-,-,-,-,+39337464534,-
FLEISCHMANN S.r.l.,Verona, Italy,"['Exporter - Exporter', 'Wholesaler - Wholesale']","[{'Strawberries': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Cherries': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Chestnuts': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Peaches': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Salads': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Peaches', 'Chestnuts', 'Cherries', 'Conventional farming', 'Strawberries', 'Salads']",+390458622559,+390458240052,felix@fleischmann.191.it,www.fleischmann-verona.com,-,+393356154729,-
FLORIDDIA FRANCESCO Az. Agr.,Ispica, Italy,['Exporter - Exporter'],[],[],+390932768850,+390932956470,-,-,-,-,-
FLOWERS EXPORT,Battipaglia, Italy,"['Agent - Agent', 'Exporter - Exporter']","[{'Beans Borlotti': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Parsley': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Lettuce': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Tomatoes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Coriander': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Baby leaf': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Baby leaf', 'Beans Borlotti', 'Conventional farming', 'Coriander', 'Lettuce', 'Tomatoes', 'Parsley']",+390828370352,+390828679500,-,-,-,+393336298174,-
FORMICA VINCENZO,Stigliano, Italy,['Exporter - Exporter'],[],[],-,-,-,-,-,-,-
FORTUNATO ANTONIO,Montalbano Jonico, Italy,['Exporter - Exporter'],"[{'Apricots': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Kiwi': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Plums': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Apricots', 'Conventional farming', 'Kiwi', 'Plums']",-,-,rfortunato@heraclea.it,-,-,+39336858812,-
FORTUNATO S.r.l.,Pachino, Italy,"['Exporter - Exporter', 'Producer - Producer and trader', 'Wholesaler - Producer and trader', 'Wholesaler - Wholesale']","[{'Vegetables': {'Convention.': True, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Integrated farming', 'Conventional farming', 'Pulses', 'Vegetables']",+390931595675,+390931591723,export@fortunato-srl.it,www.fortunato-srl.it,-,+393315485029,-
FRANCESCHINI F.LLI,Trento, Italy,['Exporter - Exporter'],"[{'Apples': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Conventional farming', 'Apples']",-,-,-,-,-,-,-
FRANCO FRUTTA S.r.l.,Fondi, Italy,"['Exporter - Exporter', 'Wholesaler - Wholesale']",[],[],+390771503983,+390771531351,-,-,-,-,-
FRESCANATURA Az. Agr. di IAFRATE & ZARBANO s.s.,Siracusa, Italy,['Exporter - Exporter'],"[{'Lemons': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Artichokes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Potatoes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Courgettes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Artichokes', 'Citrons', 'Conventional farming', 'Lemons', 'Potatoes', 'Courgettes']",+390931722276,+390931722376,-,-,-,-,-
FRESCO SENSO S.r.l.,San Pietro in Casale, Italy,['Exporter - Exporter'],"[{'Fresh fruits': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'4th range (cutted)': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Conventional farming', 'Fresh fruits', '4th range (cutted)']",+390516668085,+390516661453,info@frescosenso.it,www.frescosenso.it,-,-,-
FRIGOFRUTTA MILANO S.r.l.,Milano, Italy,"['Exporter - Exporter', 'Wholesaler - Wholesale']","[{'Bananas': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Grapes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Citrus fruits': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Vegetables': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Citrus fruits', 'Bananas', 'Conventional farming', 'Pulses', 'Vegetables', 'Grapes', 'Vegetables']",+390255185265,+390259901437,frigofruttamilano@libero.it,www.frigofruttamilano.it,-,-,-
FRIULKIWI-COOPERATIVA PRODUTTORI ACTINIDIA,Rauscedo, Italy,['Exporter - Exporter'],"[{'Kiwi': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Conventional farming', 'Kiwi']",-,-,info@friulkiwi.com,www.friulkiwi.com,-,-,-
FROM Soc. Agr. Coop.,Terlano, Italy,['Exporter - Exporter'],[],[],+390471256976,+390471257204,info@from.bz.it,www.from.bz.it,-,+393453715307,-
FRONTINO ORTOFRUTTICOLI di FRONTINO IGNAZIO & C. S.a.s.,Margherita di Savoia, Italy,['Exporter - Exporter'],"[{'Potatoes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Carrots': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Tomatoes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Onions': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Carrots', 'Onions', 'Conventional farming', 'Potatoes', 'Tomatoes']",+390883652070,+390883652014,frontino.sas@libero.it,www.frontinoortofrutticoli.it,-,+393358485605,-
FRUCTUS MERAN S.p.A.,Vilpiano, Italy,['Exporter - Exporter'],"[{'Apples': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Conventional farming', 'Apples']",+390471678350,+390471676555,georg.theiner@fructus.it,www.fructus.it,-,+393356160200,-
FRUIT SUN S.r.l.,Modigliana, Italy,['Exporter - Exporter'],[],[],+390546940149,+390546941692,-,-,-,-,-
FRUTTA BARBIERI S.r.l.,Masi Torello, Italy,['Exporter - Exporter'],"[{'Apricots': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Apples': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Pears': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Peaches': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Nectarines': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Peaches', 'Apricots', 'Conventional farming', 'Apples', 'Nectarines', 'Pears']",+390532816705,+390532819121,info@fruttabarbieri.it,www.fruttabarbieri.it,-,+393377142456,-
FRUTTA C2 S.p.A.,Rosegaferro, Italy,"['Exporter - Exporter', 'Wholesaler - Wholesale']","[{'Kiwi': {'Convention.': True, 'Integrated': False, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Peaches': {'Convention.': True, 'Integrated': False, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Nectarines': {'Convention.': True, 'Integrated': False, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}]","['Peaches', 'Organic farming', 'Conventional farming', 'Kiwi', 'Nectarines']",+390456302399,+390456304047,logistica@fruttac2.com,www.fruttac2.com,-,+393381248827,-
FRUTTA LOGISTICA S.r.l. Unipersonale,Bologna, Italy,"['Exporter - Exporter', 'Wholesaler - Wholesale']",[],[],+390512863010,+390512863002,fruttalogistica.acquisti@gmail.com,fruttalogistica.it,-,+393466299204,-
FRUTTITAL S.r.l.,Verona, Italy,['Exporter - Exporter'],[],[],+390458288890,+390458288888,commerciale_vr@fruttital.it,-,-,-,-
FRUTTITAL S.r.l.,Milano, Italy,"['Exporter - Exporter', 'Wholesaler - Wholesale']",[],[],+390259902440,+39025510117,maurizio_castelnovo@fruttital.net,-,-,-,-
FRUTTITAL S.r.l.,Milano, Italy,['Exporter - Exporter'],[],[],+390258019116,+390258016305,-,-,-,-,-
FRUVEGE TRADE S.r.l.,Corato, Italy,"['Exporter - Exporter', 'Producer - Producer and trader', 'Wholesaler - Producer and trader']","[{'Cherries': {'Convention.': True, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Grapes': {'Convention.': True, 'Integrated': True, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Savoy cabbage': {'Convention.': True, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Broccoli': {'Convention.': True, 'Integrated': True, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Catalogna': {'Convention.': True, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Turnip tops': {'Convention.': True, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Fennels': {'Convention.': True, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Cauliflowers': {'Convention.': True, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'White cabbage': {'Convention.': True, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Romanesco': {'Convention.': True, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Beet': {'Convention.': True, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Olives': {'Convention.': True, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Parsley': {'Convention.': True, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Iceberg lettuce': {'Convention.': True, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Celeries': {'Convention.': True, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Elongated tomatoes': {'Convention.': True, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Beet', 'Broccoli', 'Catalogna', 'Cauliflowers', 'White cabbage', 'Savoy cabbage', 'Cherries', 'Turnip tops', 'Integrated farming', 'Organic farming', 'Conventional farming', 'Fennels', 'Iceberg lettuce', 'Olives', 'Elongated tomatoes', 'Parsley', 'Romanesco', 'Celeries', 'Grapes']",-,-,fruvegtrade@legalmail.it,-,-,+393939868071,-
FUMAGALLI F.LLI S.r.l.,Olgiate Comasco, Italy,"['Exporter - Exporter', 'Wholesaler - Wholesale']",[],[],+39031947313,+39031947127,ortofumagalli@tiscali.it,-,-,-,-
FUTURAGRI Soc. Coop. Agr.,Foggia, Italy,['Exporter - Exporter'],"[{'Melons': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Broccoli': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Fennels': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Cauliflowers': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'French endive': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Celeries': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Asparagus': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Asparagus', 'Broccoli', 'Cauliflowers', 'French endive', 'Conventional farming', 'Fennels', 'Melons', 'Celeries']",+390881776441,+390881709902,fax@futuragri.it,www.futuragri.it,-,-,-
G & N S.r.l.,Cesena, Italy,['Exporter - Exporter'],"[{'Citrus fruits': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Citrus fruits', 'Conventional farming']",+390547630202,+390547630124,gobbifrutta@gobbifrutta.com,-,-,-,-
G. PRIVITERA - ICODOR S.r.l.,Aci San Filippo, Italy,['Exporter - Exporter'],"[{'4th range (cutted)': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Salads': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Conventional farming', 'Salads', '4th range (cutted)']",+390957655481,+390957655726,info@icodor.it,www.bellafresca.it,-,-,-
GABURRO ANGELO & PIO S.n.c.,Rosegaferro, Italy,['Exporter - Exporter'],"[{'Kiwi': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Peaches': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Nectarines': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Peaches', 'Conventional farming', 'Kiwi', 'Nectarines']",+390456303576,+390457900469,gaburrofrutta@tiscali.it,www.gaburrofrutta.it,-,-,-
GALAFRUIT S.r.l.,Laives, Italy,['Exporter - Exporter'],[],[],+390471594163,+390471590112,galafruit@galafruit.it,-,-,-,-
GALAFRUTTA S.r.l.,Bianzone, Italy,['Exporter - Exporter'],"[{'Apples': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Pears': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Kiwi': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Peaches': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Peaches', 'Conventional farming', 'Kiwi', 'Apples', 'Pears']",+390342721528,+390342720079,-,-,-,-,-
GALATINA CO. S.r.l.,Alliste, Italy,['Exporter - Exporter'],"[{'Potatoes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Conventional farming', 'Potatoes']",+390833585057,+390833553818,-,-,-,-,-
GALLO DAVID Az. Agr.,Codevigo, Italy,"['Exporter - Exporter', 'Producer - Producer and trader', 'Wholesaler - Producer and trader']","[{'Leeks': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Red Chicory': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Courgettes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['French endive', 'Conventional farming', 'Leeks', 'Red Chicory', 'Courgettes']",-,-,gallodavid@interfree.it,-,-,+393483734647,-
GALLO FRUTTA di GALLO CARMELO,Guardia Piemontese, Italy,['Exporter - Exporter'],[],[],-,-,gallofruttasrl@tiscali.it,-,-,-,-
GANDOLFO EMANUELE Az. Agr.,Licodia Eubea, Italy,"['Exporter - Exporter', 'Producer - Producer and trader', 'Wholesaler - Producer and trader']","[{'Grapes': {'Convention.': False, 'Integrated': False, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Seedless Grape': {'Convention.': False, 'Integrated': False, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}]","['Organic farming', 'Grapes', 'Seedless Grape']",-,-,gndmnl@inwind.it,www.naturalmenteuva.com,-,+393288251846,-
GARBIN F.LLI Az. Agricola,Chioggia, Italy,['Exporter - Exporter'],"[{'Carrots': {'Convention.': True, 'Integrated': False, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Red Chicory': {'Convention.': True, 'Integrated': False, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}]","['Carrots', 'French endive', 'Organic farming', 'Conventional farming', 'Red Chicory']",+390414950578,+390414650284,-,www.agricolagarbin.it,-,+39335464466,-
GARDEN FRUIT S.r.l.,Martinsicuro, Italy,['Exporter - Exporter'],"[{'Apples': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Pears': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Peaches': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Lemons': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Artichokes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Peaches', 'Artichokes', 'Citrons', 'Conventional farming', 'Lemons', 'Apples', 'Pears']",+390861762382,+390861797983,info@gardenfruit.it,www.gardenfruit.it,-,-,-
GARDEN FRUIT S.r.l.,Foligno, Italy,['Exporter - Exporter'],[],[],+390742318170,+390742326359,-,-,-,-,-
GARLETTI S.n.c. di GARLETTI GIOVANNI & C.,Bergamo, Italy,"['Exporter - Exporter', 'Importer - Importer', 'Wholesaler - Wholesale']","[{'Pineapple': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Apricots': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Apples': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Bananas': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Pears': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Melons': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Kiwi': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Peaches': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Plums': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Tomatoes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Peaches', 'Apricots', 'Pineapple', 'Bananas', 'Conventional farming', 'Kiwi', 'Apples', 'Melons', 'Pears', 'Tomatoes', 'Plums']",+39035294141,+39035299567,garletti@garlettifrutta.it,-,-,+39335266590,-
GASTALDI S.r.l.,Lagnasco, Italy,['Exporter - Exporter'],"[{'Apples': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Peaches': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Nectarines': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Peaches', 'Conventional farming', 'Apples', 'Nectarines']",+39017572648,+390175282821,info@gastaldi.biz,www.gastaldi.biz,-,+393358039611,-
